"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Conservatella","Conservatella","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",242,252.17,13,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,12,1,3
"Ellisonia","Ellisonia","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",242,254.17,26,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,10,1,6
"Furnishius","Furnishius","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",247.2,252.17,13,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,13,1,3
"Gondolella","Gondolella","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",221.5,259.9,220,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,9,2,5
"Hadrodontina","Hadrodontina","Chordata","Conodonta","Ozarkodinida","Ellisoniidae",247.2,252.17,7,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,2,2,2
"Hibbardella","Hibbardella","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",228,252.17,4,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,1,1,1
"Neostrachanognathus","Neostrachanognathus","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",247.2,251.3,2,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,2,1,2
"Pachycladina","Pachycladina","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",247.2,252.17,12,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,12,3,4
"Scythogondolella","Scythogondolella","Chordata","Conodonta","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",247.2,252.17,9,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,9,1,6
"Foliella","Foliella","Chordata","Conodonta","Ozarkodinida","Ellisoniidae",247.2,252.17,3,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,3,1,2
"Borinella","Borinella","Chordata","Conodonta","Ozarkodinida","Gondolellidae",247.2,252.17,3,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,1,1,1
"Discretella","Discretella","Chordata","Conodonta","Ozarkodinida","Gondolellidae",247.2,252.17,35,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,35,2,3
"Eurygnathodus","Eurygnathodus","Chordata","Conodonta","Ozarkodinida","Gondolellidae",247.2,252.17,4,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,3,1,3
"Guangxidella","Guangxidella","Chordata","Conodonta","Ozarkodinida","Gondolellidae",242,252.17,12,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,11,1,2
"Icriospathodus","Icriospathodus","Chordata","Conodonta","Ozarkodinida","Gondolellidae",247.2,251.3,4,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,4,2,3
"Neospathodus","Neospathodus","Chordata","Conodonta","Ozarkodinida","Gondolellidae",242,252.17,99,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,54,11,6
"Novispathodus","Novispathodus","Chordata","Conodonta","Ozarkodinida","Gondolellidae",242,251.3,56,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,51,3,10
"Smithodus","Smithodus","Chordata","Conodonta","Ozarkodinida","Gondolellidae",242,251.3,3,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,2,1,1
"Triassospathodus","Triassospathodus","Chordata","Conodonta","Ozarkodinida","Gondolellidae",242,251.3,30,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,21,3,8
"Hindeodella","Hindeodella","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED",247.2,252.17,1,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",1,1,1,1
"Ozarkodina","Ozarkodina","Chordata","Conodonta","Ozarkodinida","NO_FAMILY_SPECIFIED",228,252.17,19,"pelagic","fast, motile","predator","hemoglobin","intermediate","soft-bodied","little or no carbonate load",0,4,1,1
"Paraconularia","Paraconularia","Cnidaria","Scyphozoa","Conulariida","Conulariidae",201.6,259.9,20,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Conulariopsis","Conulariopsis","Cnidaria","Scyphozoa","Conulariida","Conulariopsidae",247.2,251.3,1,"epifaunal","stationary, attached","suspension","hemocyanin","broadcaster","phosphatic","little or no carbonate load",1,1,1,1
"Holocrinus","Holocrinus","Echinodermata","Crinoidea","Holocrinida","NO_FAMILY_SPECIFIED",235,252.17,23,"erect","facultative, attached","suspension","other","broadcaster","high Mg calcite","heavy carbonate load",0,16,2,1
"Saccocoma","Saccocoma","Echinodermata","Crinoidea","Roveacrinida","Saccocomidae",247.2,252.17,1,"erect","facultative, attached","suspension","other","broadcaster","high Mg calcite","heavy carbonate load",1,1,1,1
